group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
incremental calc,,,,,7713652208.0,cycles,80
incremental calc,,,,,15297044678.0,cycles,160
incremental calc,,,,,23237933410.0,cycles,240
incremental calc,,,,,31462245003.0,cycles,320
incremental calc,,,,,39705639836.0,cycles,400
incremental calc,,,,,48171936751.0,cycles,480
incremental calc,,,,,57036141532.0,cycles,560
incremental calc,,,,,67593508819.0,cycles,640
incremental calc,,,,,76720364147.0,cycles,720
incremental calc,,,,,88998968627.0,cycles,800
incremental calc,,,,,95007150278.0,cycles,880
incremental calc,,,,,102522995842.0,cycles,960
incremental calc,,,,,107977061457.0,cycles,1040
incremental calc,,,,,121018670563.0,cycles,1120
incremental calc,,,,,133538267883.0,cycles,1200
incremental calc,,,,,146109811296.0,cycles,1280
incremental calc,,,,,159756577407.0,cycles,1360
incremental calc,,,,,173151796953.0,cycles,1440
incremental calc,,,,,189778735008.0,cycles,1520
incremental calc,,,,,202769803712.0,cycles,1600
incremental calc,,,,,216195563990.0,cycles,1680
incremental calc,,,,,229444838366.0,cycles,1760
incremental calc,,,,,242138210253.0,cycles,1840
incremental calc,,,,,253502228799.0,cycles,1920
incremental calc,,,,,263788723225.0,cycles,2000
incremental calc,,,,,251804653179.0,cycles,2080
incremental calc,,,,,274800136672.0,cycles,2160
incremental calc,,,,,289169022601.0,cycles,2240
incremental calc,,,,,310001330301.0,cycles,2320
incremental calc,,,,,332404869814.0,cycles,2400
incremental calc,,,,,356064598201.0,cycles,2480
incremental calc,,,,,386544146628.0,cycles,2560
incremental calc,,,,,422000679020.0,cycles,2640
incremental calc,,,,,440488481795.0,cycles,2720
incremental calc,,,,,459709005985.0,cycles,2800
incremental calc,,,,,486170397932.0,cycles,2880
incremental calc,,,,,516400103202.0,cycles,2960
incremental calc,,,,,475571363262.0,cycles,3040
incremental calc,,,,,499130357682.0,cycles,3120
incremental calc,,,,,519057545884.0,cycles,3200
incremental calc,,,,,538079594619.0,cycles,3280
incremental calc,,,,,554701550899.0,cycles,3360
incremental calc,,,,,570515614354.0,cycles,3440
incremental calc,,,,,588088357085.0,cycles,3520
incremental calc,,,,,604889684261.0,cycles,3600
incremental calc,,,,,622487372395.0,cycles,3680
incremental calc,,,,,638645549190.0,cycles,3760
incremental calc,,,,,658989637313.0,cycles,3840
incremental calc,,,,,673895951437.0,cycles,3920
incremental calc,,,,,689887476739.0,cycles,4000
incremental calc,,,,,653687623225.0,cycles,4080
incremental calc,,,,,672109642909.0,cycles,4160
incremental calc,,,,,692360520260.0,cycles,4240
incremental calc,,,,,713312277640.0,cycles,4320
incremental calc,,,,,731379307734.0,cycles,4400
incremental calc,,,,,747880589676.0,cycles,4480
incremental calc,,,,,765417914824.0,cycles,4560
incremental calc,,,,,782741096054.0,cycles,4640
incremental calc,,,,,795621214085.0,cycles,4720
incremental calc,,,,,812306294542.0,cycles,4800
incremental calc,,,,,827103326359.0,cycles,4880
incremental calc,,,,,843178176988.0,cycles,4960
incremental calc,,,,,1083570906499.0,cycles,5040
incremental calc,,,,,1233728306466.0,cycles,5120
incremental calc,,,,,1240401080496.0,cycles,5200
incremental calc,,,,,1244886006337.0,cycles,5280
incremental calc,,,,,933354270173.0,cycles,5360
incremental calc,,,,,959411545905.0,cycles,5440
incremental calc,,,,,989386892132.0,cycles,5520
incremental calc,,,,,1023455369884.0,cycles,5600
incremental calc,,,,,1048001538096.0,cycles,5680
incremental calc,,,,,1076012815448.0,cycles,5760
incremental calc,,,,,1106563809909.0,cycles,5840
incremental calc,,,,,1132034035052.0,cycles,5920
incremental calc,,,,,1160917946204.0,cycles,6000
incremental calc,,,,,1104759281827.0,cycles,6080
incremental calc,,,,,1135281168883.0,cycles,6160
incremental calc,,,,,1163842236396.0,cycles,6240
incremental calc,,,,,1194841651335.0,cycles,6320
incremental calc,,,,,1225247421091.0,cycles,6400
incremental calc,,,,,1257437096973.0,cycles,6480
incremental calc,,,,,1289073797858.0,cycles,6560
incremental calc,,,,,1319186630452.0,cycles,6640
incremental calc,,,,,1350079724178.0,cycles,6720
incremental calc,,,,,1375713541358.0,cycles,6800
incremental calc,,,,,1404114794666.0,cycles,6880
incremental calc,,,,,1431218371770.0,cycles,6960
incremental calc,,,,,1357555839485.0,cycles,7040
incremental calc,,,,,1378812335174.0,cycles,7120
incremental calc,,,,,1411497301746.0,cycles,7200
incremental calc,,,,,1412225287970.0,cycles,7280
incremental calc,,,,,1430099573550.0,cycles,7360
incremental calc,,,,,1449804384504.0,cycles,7440
incremental calc,,,,,1464689057283.0,cycles,7520
incremental calc,,,,,1480421761384.0,cycles,7600
incremental calc,,,,,1496218771484.0,cycles,7680
incremental calc,,,,,1511495527148.0,cycles,7760
incremental calc,,,,,1531125072015.0,cycles,7840
incremental calc,,,,,1544511947519.0,cycles,7920
incremental calc,,,,,1564018113182.0,cycles,8000
