group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
initial calculation,,,,,11173099161.0,cycles,63
initial calculation,,,,,22374525927.0,cycles,126
initial calculation,,,,,34258617738.0,cycles,189
initial calculation,,,,,46429817918.0,cycles,252
initial calculation,,,,,58285848255.0,cycles,315
initial calculation,,,,,70507382222.0,cycles,378
initial calculation,,,,,82720284656.0,cycles,441
initial calculation,,,,,96119391163.0,cycles,504
initial calculation,,,,,108331303851.0,cycles,567
initial calculation,,,,,122310553165.0,cycles,630
initial calculation,,,,,134665506518.0,cycles,693
initial calculation,,,,,147903295348.0,cycles,756
initial calculation,,,,,159609181370.0,cycles,819
initial calculation,,,,,173178638586.0,cycles,882
initial calculation,,,,,186828535149.0,cycles,945
initial calculation,,,,,194640002242.0,cycles,1008
initial calculation,,,,,214254610106.0,cycles,1071
initial calculation,,,,,237676028443.0,cycles,1134
initial calculation,,,,,260148919218.0,cycles,1197
initial calculation,,,,,286335785462.0,cycles,1260
initial calculation,,,,,310575288146.0,cycles,1323
initial calculation,,,,,339815745035.0,cycles,1386
initial calculation,,,,,367764683327.0,cycles,1449
initial calculation,,,,,399461541194.0,cycles,1512
initial calculation,,,,,429405802435.0,cycles,1575
initial calculation,,,,,462283769325.0,cycles,1638
initial calculation,,,,,493985047757.0,cycles,1701
initial calculation,,,,,527186217001.0,cycles,1764
initial calculation,,,,,560221707156.0,cycles,1827
initial calculation,,,,,593716556720.0,cycles,1890
initial calculation,,,,,626532217611.0,cycles,1953
initial calculation,,,,,559567785552.0,cycles,2016
initial calculation,,,,,588359438186.0,cycles,2079
initial calculation,,,,,613542552212.0,cycles,2142
initial calculation,,,,,638151952343.0,cycles,2205
initial calculation,,,,,661452116848.0,cycles,2268
initial calculation,,,,,683865218567.0,cycles,2331
initial calculation,,,,,709829402334.0,cycles,2394
initial calculation,,,,,729057060887.0,cycles,2457
initial calculation,,,,,749693786739.0,cycles,2520
initial calculation,,,,,771535327922.0,cycles,2583
initial calculation,,,,,794144088716.0,cycles,2646
initial calculation,,,,,815646860189.0,cycles,2709
initial calculation,,,,,837858325076.0,cycles,2772
initial calculation,,,,,861263222419.0,cycles,2835
initial calculation,,,,,884549615588.0,cycles,2898
initial calculation,,,,,906475989541.0,cycles,2961
initial calculation,,,,,848332837912.0,cycles,3024
initial calculation,,,,,880031159277.0,cycles,3087
initial calculation,,,,,921475741036.0,cycles,3150
initial calculation,,,,,964172700581.0,cycles,3213
initial calculation,,,,,1002637724813.0,cycles,3276
initial calculation,,,,,1037663351750.0,cycles,3339
initial calculation,,,,,1078638604028.0,cycles,3402
initial calculation,,,,,1121952191737.0,cycles,3465
initial calculation,,,,,1162101763591.0,cycles,3528
initial calculation,,,,,1199221894552.0,cycles,3591
initial calculation,,,,,1239757234249.0,cycles,3654
initial calculation,,,,,1280938261661.0,cycles,3717
initial calculation,,,,,1320354391680.0,cycles,3780
initial calculation,,,,,1357773211916.0,cycles,3843
initial calculation,,,,,1392920877208.0,cycles,3906
initial calculation,,,,,1431524668618.0,cycles,3969
initial calculation,,,,,1321339295754.0,cycles,4032
initial calculation,,,,,1356398385841.0,cycles,4095
initial calculation,,,,,1388576821233.0,cycles,4158
initial calculation,,,,,1419313967989.0,cycles,4221
initial calculation,,,,,1449503433736.0,cycles,4284
initial calculation,,,,,1480768360750.0,cycles,4347
initial calculation,,,,,1524644359041.0,cycles,4410
initial calculation,,,,,1558444483541.0,cycles,4473
initial calculation,,,,,1596129322011.0,cycles,4536
initial calculation,,,,,1633152272725.0,cycles,4599
initial calculation,,,,,1673609557643.0,cycles,4662
initial calculation,,,,,1721724989450.0,cycles,4725
initial calculation,,,,,1753873281283.0,cycles,4788
initial calculation,,,,,1785760681170.0,cycles,4851
initial calculation,,,,,1825618506031.0,cycles,4914
initial calculation,,,,,1862464326499.0,cycles,4977
initial calculation,,,,,1739949753797.0,cycles,5040
initial calculation,,,,,1778903164850.0,cycles,5103
initial calculation,,,,,1815771907030.0,cycles,5166
initial calculation,,,,,1849468747244.0,cycles,5229
initial calculation,,,,,1884422222763.0,cycles,5292
initial calculation,,,,,1915404345672.0,cycles,5355
initial calculation,,,,,1947870097997.0,cycles,5418
initial calculation,,,,,1980269624805.0,cycles,5481
initial calculation,,,,,2023049066038.0,cycles,5544
initial calculation,,,,,2048418832093.0,cycles,5607
initial calculation,,,,,2079626106992.0,cycles,5670
initial calculation,,,,,2105266320575.0,cycles,5733
initial calculation,,,,,2133081115151.0,cycles,5796
initial calculation,,,,,2161602374134.0,cycles,5859
initial calculation,,,,,2192158667079.0,cycles,5922
initial calculation,,,,,2258522278782.0,cycles,5985
initial calculation,,,,,2156993128428.0,cycles,6048
initial calculation,,,,,2186933981180.0,cycles,6111
initial calculation,,,,,2246085556715.0,cycles,6174
initial calculation,,,,,2272962635165.0,cycles,6237
initial calculation,,,,,2304567189596.0,cycles,6300
