group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
modified from scratch,,,,,11139154493.0,cycles,62
modified from scratch,,,,,22388072905.0,cycles,124
modified from scratch,,,,,33829433661.0,cycles,186
modified from scratch,,,,,45673535142.0,cycles,248
modified from scratch,,,,,57646568375.0,cycles,310
modified from scratch,,,,,70017444906.0,cycles,372
modified from scratch,,,,,82944662603.0,cycles,434
modified from scratch,,,,,95598707933.0,cycles,496
modified from scratch,,,,,108306893563.0,cycles,558
modified from scratch,,,,,121118332973.0,cycles,620
modified from scratch,,,,,135422674349.0,cycles,682
modified from scratch,,,,,147452346144.0,cycles,744
modified from scratch,,,,,159618382268.0,cycles,806
modified from scratch,,,,,173234962237.0,cycles,868
modified from scratch,,,,,187018510414.0,cycles,930
modified from scratch,,,,,198414577676.0,cycles,992
modified from scratch,,,,,204729777186.0,cycles,1054
modified from scratch,,,,,224910119283.0,cycles,1116
modified from scratch,,,,,244473471311.0,cycles,1178
modified from scratch,,,,,263711840268.0,cycles,1240
modified from scratch,,,,,283110402779.0,cycles,1302
modified from scratch,,,,,302497176066.0,cycles,1364
modified from scratch,,,,,322361789299.0,cycles,1426
modified from scratch,,,,,344664419225.0,cycles,1488
modified from scratch,,,,,370193147970.0,cycles,1550
modified from scratch,,,,,393812134482.0,cycles,1612
modified from scratch,,,,,415132618428.0,cycles,1674
modified from scratch,,,,,419012080441.0,cycles,1736
modified from scratch,,,,,436210207736.0,cycles,1798
modified from scratch,,,,,453283019497.0,cycles,1860
modified from scratch,,,,,471442058961.0,cycles,1922
modified from scratch,,,,,490735454111.0,cycles,1984
modified from scratch,,,,,477225185609.0,cycles,2046
modified from scratch,,,,,512276484502.0,cycles,2108
modified from scratch,,,,,540772055356.0,cycles,2170
modified from scratch,,,,,585855194964.0,cycles,2232
modified from scratch,,,,,614710932884.0,cycles,2294
modified from scratch,,,,,647509721008.0,cycles,2356
modified from scratch,,,,,705546289613.0,cycles,2418
modified from scratch,,,,,723960308885.0,cycles,2480
modified from scratch,,,,,766872310644.0,cycles,2542
modified from scratch,,,,,829457198469.0,cycles,2604
modified from scratch,,,,,852946377253.0,cycles,2666
modified from scratch,,,,,928319227115.0,cycles,2728
modified from scratch,,,,,984814212216.0,cycles,2790
modified from scratch,,,,,984349564175.0,cycles,2852
modified from scratch,,,,,1001331195705.0,cycles,2914
modified from scratch,,,,,1023038668251.0,cycles,2976
modified from scratch,,,,,965109571783.0,cycles,3038
modified from scratch,,,,,1011507854621.0,cycles,3100
modified from scratch,,,,,1041031128314.0,cycles,3162
modified from scratch,,,,,1076902464561.0,cycles,3224
modified from scratch,,,,,1104400223453.0,cycles,3286
modified from scratch,,,,,1139999700777.0,cycles,3348
modified from scratch,,,,,1152912739408.0,cycles,3410
modified from scratch,,,,,1181120248926.0,cycles,3472
modified from scratch,,,,,1212958745868.0,cycles,3534
modified from scratch,,,,,1262512022708.0,cycles,3596
modified from scratch,,,,,1318662772076.0,cycles,3658
modified from scratch,,,,,1341394934587.0,cycles,3720
modified from scratch,,,,,1376067080461.0,cycles,3782
modified from scratch,,,,,1397519193273.0,cycles,3844
modified from scratch,,,,,1470113327513.0,cycles,3906
modified from scratch,,,,,1464007112843.0,cycles,3968
modified from scratch,,,,,1380428489654.0,cycles,4030
modified from scratch,,,,,1429475627700.0,cycles,4092
modified from scratch,,,,,1411716518480.0,cycles,4154
modified from scratch,,,,,1461662515750.0,cycles,4216
modified from scratch,,,,,1509841727377.0,cycles,4278
modified from scratch,,,,,1537314915436.0,cycles,4340
modified from scratch,,,,,1564232007921.0,cycles,4402
modified from scratch,,,,,1605294081998.0,cycles,4464
modified from scratch,,,,,1619004372188.0,cycles,4526
modified from scratch,,,,,1658587092362.0,cycles,4588
modified from scratch,,,,,1693819679334.0,cycles,4650
modified from scratch,,,,,1727524973981.0,cycles,4712
modified from scratch,,,,,1773833394135.0,cycles,4774
modified from scratch,,,,,1798103402192.0,cycles,4836
modified from scratch,,,,,1827344643226.0,cycles,4898
modified from scratch,,,,,1862439836519.0,cycles,4960
modified from scratch,,,,,1740239904966.0,cycles,5022
modified from scratch,,,,,1773455327604.0,cycles,5084
modified from scratch,,,,,1809481906545.0,cycles,5146
modified from scratch,,,,,1860359551366.0,cycles,5208
modified from scratch,,,,,1896136869180.0,cycles,5270
modified from scratch,,,,,1933044934727.0,cycles,5332
modified from scratch,,,,,1976851937941.0,cycles,5394
modified from scratch,,,,,2012653544227.0,cycles,5456
modified from scratch,,,,,2053726711787.0,cycles,5518
modified from scratch,,,,,2104141131581.0,cycles,5580
modified from scratch,,,,,2133746288992.0,cycles,5642
modified from scratch,,,,,2170426975445.0,cycles,5704
modified from scratch,,,,,2208924334489.0,cycles,5766
modified from scratch,,,,,2238948841757.0,cycles,5828
modified from scratch,,,,,2276047893209.0,cycles,5890
modified from scratch,,,,,2317486263504.0,cycles,5952
modified from scratch,,,,,2184689495024.0,cycles,6014
modified from scratch,,,,,2241488706417.0,cycles,6076
modified from scratch,,,,,2288434349494.0,cycles,6138
modified from scratch,,,,,2340699497984.0,cycles,6200
