group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,incremental calc,15,,,491532642.0,cycles,470
non_nested_compare,incremental calc,15,,,1016501868.0,cycles,940
non_nested_compare,incremental calc,15,,,1732090583.0,cycles,1410
non_nested_compare,incremental calc,15,,,2277702090.0,cycles,1880
non_nested_compare,incremental calc,15,,,5171898480.0,cycles,2350
non_nested_compare,incremental calc,15,,,6123489251.0,cycles,2820
non_nested_compare,incremental calc,15,,,8858043516.0,cycles,3290
non_nested_compare,incremental calc,15,,,10396293656.0,cycles,3760
non_nested_compare,incremental calc,15,,,12098017651.0,cycles,4230
non_nested_compare,incremental calc,15,,,13849262468.0,cycles,4700
non_nested_compare,incremental calc,15,,,15806609699.0,cycles,5170
non_nested_compare,incremental calc,15,,,18976474882.0,cycles,5640
non_nested_compare,incremental calc,15,,,20659976768.0,cycles,6110
non_nested_compare,incremental calc,15,,,23020405312.0,cycles,6580
non_nested_compare,incremental calc,15,,,24797397092.0,cycles,7050
non_nested_compare,incremental calc,15,,,27591784730.0,cycles,7520
non_nested_compare,incremental calc,15,,,30160502957.0,cycles,7990
non_nested_compare,incremental calc,15,,,32481731699.0,cycles,8460
non_nested_compare,incremental calc,15,,,35482159144.0,cycles,8930
non_nested_compare,incremental calc,15,,,37769659716.0,cycles,9400
non_nested_compare,incremental calc,15,,,40698838591.0,cycles,9870
non_nested_compare,incremental calc,15,,,42645639246.0,cycles,10340
non_nested_compare,incremental calc,15,,,45518912157.0,cycles,10810
non_nested_compare,incremental calc,15,,,48101774384.0,cycles,11280
non_nested_compare,incremental calc,15,,,50654610113.0,cycles,11750
non_nested_compare,incremental calc,15,,,52407888893.0,cycles,12220
non_nested_compare,incremental calc,15,,,55626263278.0,cycles,12690
non_nested_compare,incremental calc,15,,,57068946301.0,cycles,13160
non_nested_compare,incremental calc,15,,,60008255541.0,cycles,13630
non_nested_compare,incremental calc,15,,,62970337325.0,cycles,14100
non_nested_compare,incremental calc,15,,,66238261948.0,cycles,14570
non_nested_compare,incremental calc,15,,,68846821531.0,cycles,15040
non_nested_compare,incremental calc,15,,,72748590754.0,cycles,15510
non_nested_compare,incremental calc,15,,,76655261033.0,cycles,15980
non_nested_compare,incremental calc,15,,,78889371164.0,cycles,16450
non_nested_compare,incremental calc,15,,,83631614383.0,cycles,16920
non_nested_compare,incremental calc,15,,,86250937168.0,cycles,17390
non_nested_compare,incremental calc,15,,,90615711335.0,cycles,17860
non_nested_compare,incremental calc,15,,,18805428281.0,cycles,18330
non_nested_compare,incremental calc,15,,,19444380198.0,cycles,18800
non_nested_compare,incremental calc,15,,,19783700948.0,cycles,19270
non_nested_compare,incremental calc,15,,,20289795862.0,cycles,19740
non_nested_compare,incremental calc,15,,,20674151533.0,cycles,20210
non_nested_compare,incremental calc,15,,,21145233086.0,cycles,20680
non_nested_compare,incremental calc,15,,,21510107152.0,cycles,21150
non_nested_compare,incremental calc,15,,,22060215439.0,cycles,21620
non_nested_compare,incremental calc,15,,,22536205129.0,cycles,22090
non_nested_compare,incremental calc,15,,,22887159983.0,cycles,22560
non_nested_compare,incremental calc,15,,,23354789350.0,cycles,23030
non_nested_compare,incremental calc,15,,,23827366747.0,cycles,23500
non_nested_compare,incremental calc,15,,,24655673260.0,cycles,23970
non_nested_compare,incremental calc,15,,,24884706758.0,cycles,24440
non_nested_compare,incremental calc,15,,,25307004968.0,cycles,24910
non_nested_compare,incremental calc,15,,,25859202726.0,cycles,25380
non_nested_compare,incremental calc,15,,,26276448908.0,cycles,25850
non_nested_compare,incremental calc,15,,,26792990069.0,cycles,26320
non_nested_compare,incremental calc,15,,,27279367100.0,cycles,26790
non_nested_compare,incremental calc,15,,,27720774409.0,cycles,27260
non_nested_compare,incremental calc,15,,,28199228898.0,cycles,27730
non_nested_compare,incremental calc,15,,,28847005718.0,cycles,28200
non_nested_compare,incremental calc,15,,,29107838416.0,cycles,28670
non_nested_compare,incremental calc,15,,,29708082233.0,cycles,29140
non_nested_compare,incremental calc,15,,,30545960089.0,cycles,29610
non_nested_compare,incremental calc,15,,,30511600046.0,cycles,30080
