group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,incremental calc,20,,,881739452.0,cycles,9
non_nested_compare,incremental calc,20,,,1770575598.0,cycles,18
non_nested_compare,incremental calc,20,,,2628753949.0,cycles,27
non_nested_compare,incremental calc,20,,,3520980552.0,cycles,36
non_nested_compare,incremental calc,20,,,4397188077.0,cycles,45
non_nested_compare,incremental calc,20,,,5338278249.0,cycles,54
non_nested_compare,incremental calc,20,,,6258533218.0,cycles,63
non_nested_compare,incremental calc,20,,,7112355302.0,cycles,72
non_nested_compare,incremental calc,20,,,8094740765.0,cycles,81
non_nested_compare,incremental calc,20,,,9024804768.0,cycles,90
non_nested_compare,incremental calc,20,,,9921172251.0,cycles,99
non_nested_compare,incremental calc,20,,,10779264718.0,cycles,108
non_nested_compare,incremental calc,20,,,11811833918.0,cycles,117
non_nested_compare,incremental calc,20,,,12768129089.0,cycles,126
non_nested_compare,incremental calc,20,,,13821504624.0,cycles,135
non_nested_compare,incremental calc,20,,,14772843738.0,cycles,144
non_nested_compare,incremental calc,20,,,15652503626.0,cycles,153
non_nested_compare,incremental calc,20,,,16591942410.0,cycles,162
non_nested_compare,incremental calc,20,,,17591463703.0,cycles,171
non_nested_compare,incremental calc,20,,,18726809001.0,cycles,180
non_nested_compare,incremental calc,20,,,19635226616.0,cycles,189
non_nested_compare,incremental calc,20,,,20732456553.0,cycles,198
non_nested_compare,incremental calc,20,,,21630596104.0,cycles,207
non_nested_compare,incremental calc,20,,,22645842924.0,cycles,216
non_nested_compare,incremental calc,20,,,23707862713.0,cycles,225
non_nested_compare,incremental calc,20,,,24866060332.0,cycles,234
non_nested_compare,incremental calc,20,,,25770386671.0,cycles,243
non_nested_compare,incremental calc,20,,,27000253808.0,cycles,252
non_nested_compare,incremental calc,20,,,28193039169.0,cycles,261
non_nested_compare,incremental calc,20,,,29180076615.0,cycles,270
non_nested_compare,incremental calc,20,,,30385646765.0,cycles,279
non_nested_compare,incremental calc,20,,,31313019183.0,cycles,288
non_nested_compare,incremental calc,20,,,32668434059.0,cycles,297
non_nested_compare,incremental calc,20,,,34034286241.0,cycles,306
non_nested_compare,incremental calc,20,,,34622731480.0,cycles,315
non_nested_compare,incremental calc,20,,,35651830403.0,cycles,324
non_nested_compare,incremental calc,20,,,36858709347.0,cycles,333
non_nested_compare,incremental calc,20,,,37800070839.0,cycles,342
non_nested_compare,incremental calc,20,,,39048395482.0,cycles,351
non_nested_compare,incremental calc,20,,,40008653811.0,cycles,360
non_nested_compare,incremental calc,20,,,41334174276.0,cycles,369
non_nested_compare,incremental calc,20,,,42164392424.0,cycles,378
non_nested_compare,incremental calc,20,,,43021461228.0,cycles,387
non_nested_compare,incremental calc,20,,,44247278617.0,cycles,396
non_nested_compare,incremental calc,20,,,45194343290.0,cycles,405
non_nested_compare,incremental calc,20,,,46203600065.0,cycles,414
non_nested_compare,incremental calc,20,,,47176669039.0,cycles,423
non_nested_compare,incremental calc,20,,,48201851066.0,cycles,432
non_nested_compare,incremental calc,20,,,49080096548.0,cycles,441
non_nested_compare,incremental calc,20,,,50123385717.0,cycles,450
non_nested_compare,incremental calc,20,,,51711887276.0,cycles,459
non_nested_compare,incremental calc,20,,,52580393457.0,cycles,468
non_nested_compare,incremental calc,20,,,54321487535.0,cycles,477
non_nested_compare,incremental calc,20,,,55425307271.0,cycles,486
non_nested_compare,incremental calc,20,,,56572196319.0,cycles,495
non_nested_compare,incremental calc,20,,,57640972285.0,cycles,504
non_nested_compare,incremental calc,20,,,59952654211.0,cycles,513
non_nested_compare,incremental calc,20,,,60462323513.0,cycles,522
non_nested_compare,incremental calc,20,,,61147570162.0,cycles,531
non_nested_compare,incremental calc,20,,,62405165662.0,cycles,540
non_nested_compare,incremental calc,20,,,63678794848.0,cycles,549
non_nested_compare,incremental calc,20,,,64661639763.0,cycles,558
non_nested_compare,incremental calc,20,,,67018532564.0,cycles,567
non_nested_compare,incremental calc,20,,,67241247649.0,cycles,576
non_nested_compare,incremental calc,20,,,68067249952.0,cycles,585
non_nested_compare,incremental calc,20,,,70733557283.0,cycles,594
non_nested_compare,incremental calc,20,,,71943223622.0,cycles,603
non_nested_compare,incremental calc,20,,,72422082970.0,cycles,612
non_nested_compare,incremental calc,20,,,72370858536.0,cycles,621
non_nested_compare,incremental calc,20,,,73674671287.0,cycles,630
non_nested_compare,incremental calc,20,,,75036105511.0,cycles,639
non_nested_compare,incremental calc,20,,,76200719325.0,cycles,648
non_nested_compare,incremental calc,20,,,77938284372.0,cycles,657
non_nested_compare,incremental calc,20,,,79260187922.0,cycles,666
non_nested_compare,incremental calc,20,,,80677811588.0,cycles,675
non_nested_compare,incremental calc,20,,,81926823275.0,cycles,684
non_nested_compare,incremental calc,20,,,82699513969.0,cycles,693
non_nested_compare,incremental calc,20,,,83867455536.0,cycles,702
non_nested_compare,incremental calc,20,,,86775581383.0,cycles,711
non_nested_compare,incremental calc,20,,,87453350296.0,cycles,720
non_nested_compare,incremental calc,20,,,89147447886.0,cycles,729
non_nested_compare,incremental calc,20,,,89716226483.0,cycles,738
non_nested_compare,incremental calc,20,,,91208392889.0,cycles,747
non_nested_compare,incremental calc,20,,,91620172217.0,cycles,756
non_nested_compare,incremental calc,20,,,92419650510.0,cycles,765
non_nested_compare,incremental calc,20,,,94271457663.0,cycles,774
non_nested_compare,incremental calc,20,,,95265132763.0,cycles,783
non_nested_compare,incremental calc,20,,,96843899036.0,cycles,792
non_nested_compare,incremental calc,20,,,98246338379.0,cycles,801
non_nested_compare,incremental calc,20,,,99145852152.0,cycles,810
non_nested_compare,incremental calc,20,,,100392968773.0,cycles,819
non_nested_compare,incremental calc,20,,,101505103019.0,cycles,828
non_nested_compare,incremental calc,20,,,101978287652.0,cycles,837
non_nested_compare,incremental calc,20,,,103041692140.0,cycles,846
non_nested_compare,incremental calc,20,,,103899778847.0,cycles,855
non_nested_compare,incremental calc,20,,,104903502007.0,cycles,864
non_nested_compare,incremental calc,20,,,105804779912.0,cycles,873
non_nested_compare,incremental calc,20,,,106706262747.0,cycles,882
non_nested_compare,incremental calc,20,,,108152686486.0,cycles,891
non_nested_compare,incremental calc,20,,,108607227597.0,cycles,900
