group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,initial calculation,10,,,877051292.0,cycles,13936
non_nested_compare,initial calculation,10,,,1623779951.0,cycles,27872
non_nested_compare,initial calculation,10,,,2441850077.0,cycles,41808
non_nested_compare,initial calculation,10,,,3377930593.0,cycles,55744
non_nested_compare,initial calculation,10,,,4805611681.0,cycles,69680
non_nested_compare,initial calculation,10,,,6412907140.0,cycles,83616
non_nested_compare,initial calculation,10,,,7961948619.0,cycles,97552
non_nested_compare,initial calculation,10,,,9771641669.0,cycles,111488
non_nested_compare,initial calculation,10,,,11311765617.0,cycles,125424
non_nested_compare,initial calculation,10,,,12451797165.0,cycles,139360
non_nested_compare,initial calculation,10,,,13751827371.0,cycles,153296
non_nested_compare,initial calculation,10,,,15451713762.0,cycles,167232
non_nested_compare,initial calculation,10,,,16995559153.0,cycles,181168
non_nested_compare,initial calculation,10,,,17495134881.0,cycles,195104
non_nested_compare,initial calculation,10,,,18602215139.0,cycles,209040
non_nested_compare,initial calculation,10,,,20408049535.0,cycles,222976
non_nested_compare,initial calculation,10,,,21187318833.0,cycles,236912
non_nested_compare,initial calculation,10,,,23100056066.0,cycles,250848
non_nested_compare,initial calculation,10,,,24916116417.0,cycles,264784
non_nested_compare,initial calculation,10,,,25396113901.0,cycles,278720
non_nested_compare,initial calculation,10,,,26367708106.0,cycles,292656
non_nested_compare,initial calculation,10,,,27428759987.0,cycles,306592
non_nested_compare,initial calculation,10,,,28695894438.0,cycles,320528
non_nested_compare,initial calculation,10,,,30353454225.0,cycles,334464
non_nested_compare,initial calculation,10,,,31638773687.0,cycles,348400
non_nested_compare,initial calculation,10,,,32491153371.0,cycles,362336
non_nested_compare,initial calculation,10,,,33761168798.0,cycles,376272
non_nested_compare,initial calculation,10,,,35372314624.0,cycles,390208
non_nested_compare,initial calculation,10,,,36650635757.0,cycles,404144
non_nested_compare,initial calculation,10,,,37679203910.0,cycles,418080
non_nested_compare,initial calculation,10,,,38638869551.0,cycles,432016
non_nested_compare,initial calculation,10,,,40418434373.0,cycles,445952
non_nested_compare,initial calculation,10,,,41261164586.0,cycles,459888
non_nested_compare,initial calculation,10,,,42512569613.0,cycles,473824
non_nested_compare,initial calculation,10,,,44213178832.0,cycles,487760
non_nested_compare,initial calculation,10,,,46247034886.0,cycles,501696
non_nested_compare,initial calculation,10,,,46371955607.0,cycles,515632
non_nested_compare,initial calculation,10,,,47589169072.0,cycles,529568
non_nested_compare,initial calculation,10,,,48923854550.0,cycles,543504
non_nested_compare,initial calculation,10,,,50557324079.0,cycles,557440
non_nested_compare,initial calculation,10,,,51633405388.0,cycles,571376
non_nested_compare,initial calculation,10,,,52667249501.0,cycles,585312
non_nested_compare,initial calculation,10,,,53888028311.0,cycles,599248
non_nested_compare,initial calculation,10,,,55149658088.0,cycles,613184
non_nested_compare,initial calculation,10,,,57056757798.0,cycles,627120
non_nested_compare,initial calculation,10,,,57844367830.0,cycles,641056
non_nested_compare,initial calculation,10,,,59249978480.0,cycles,654992
non_nested_compare,initial calculation,10,,,60841925362.0,cycles,668928
non_nested_compare,initial calculation,10,,,61305932384.0,cycles,682864
non_nested_compare,initial calculation,10,,,62731415445.0,cycles,696800
non_nested_compare,initial calculation,10,,,64370167957.0,cycles,710736
non_nested_compare,initial calculation,10,,,67974396304.0,cycles,724672
non_nested_compare,initial calculation,10,,,67805474749.0,cycles,738608
non_nested_compare,initial calculation,10,,,67559926372.0,cycles,752544
non_nested_compare,initial calculation,10,,,68892514974.0,cycles,766480
non_nested_compare,initial calculation,10,,,70762618660.0,cycles,780416
non_nested_compare,initial calculation,10,,,71678900592.0,cycles,794352
non_nested_compare,initial calculation,10,,,72795663276.0,cycles,808288
non_nested_compare,initial calculation,10,,,74180260991.0,cycles,822224
non_nested_compare,initial calculation,10,,,75576949968.0,cycles,836160
non_nested_compare,initial calculation,10,,,76336279728.0,cycles,850096
non_nested_compare,initial calculation,10,,,77404261062.0,cycles,864032
non_nested_compare,initial calculation,10,,,79068101835.0,cycles,877968
non_nested_compare,initial calculation,10,,,80262507570.0,cycles,891904
non_nested_compare,initial calculation,10,,,81310053110.0,cycles,905840
non_nested_compare,initial calculation,10,,,83249750760.0,cycles,919776
non_nested_compare,initial calculation,10,,,84751730385.0,cycles,933712
non_nested_compare,initial calculation,10,,,85288115635.0,cycles,947648
non_nested_compare,initial calculation,10,,,87776425865.0,cycles,961584
non_nested_compare,initial calculation,10,,,87139274779.0,cycles,975520
non_nested_compare,initial calculation,10,,,87958974606.0,cycles,989456
non_nested_compare,initial calculation,10,,,89117232952.0,cycles,1003392
non_nested_compare,initial calculation,10,,,90322506654.0,cycles,1017328
non_nested_compare,initial calculation,10,,,91430999528.0,cycles,1031264
non_nested_compare,initial calculation,10,,,93342168450.0,cycles,1045200
non_nested_compare,initial calculation,10,,,94329813358.0,cycles,1059136
non_nested_compare,initial calculation,10,,,95211191995.0,cycles,1073072
non_nested_compare,initial calculation,10,,,96765751033.0,cycles,1087008
non_nested_compare,initial calculation,10,,,97821516485.0,cycles,1100944
non_nested_compare,initial calculation,10,,,98951300064.0,cycles,1114880
non_nested_compare,initial calculation,10,,,100277736292.0,cycles,1128816
non_nested_compare,initial calculation,10,,,101699212585.0,cycles,1142752
non_nested_compare,initial calculation,10,,,102963976971.0,cycles,1156688
non_nested_compare,initial calculation,10,,,175745396521.0,cycles,1170624
non_nested_compare,initial calculation,10,,,178069550043.0,cycles,1184560
non_nested_compare,initial calculation,10,,,179908934584.0,cycles,1198496
non_nested_compare,initial calculation,10,,,182324572987.0,cycles,1212432
non_nested_compare,initial calculation,10,,,184271320677.0,cycles,1226368
non_nested_compare,initial calculation,10,,,186501776790.0,cycles,1240304
non_nested_compare,initial calculation,10,,,188584901691.0,cycles,1254240
non_nested_compare,initial calculation,10,,,190378037121.0,cycles,1268176
non_nested_compare,initial calculation,10,,,192760832535.0,cycles,1282112
non_nested_compare,initial calculation,10,,,194729154589.0,cycles,1296048
non_nested_compare,initial calculation,10,,,197334506452.0,cycles,1309984
non_nested_compare,initial calculation,10,,,199169681402.0,cycles,1323920
non_nested_compare,initial calculation,10,,,201304043665.0,cycles,1337856
non_nested_compare,initial calculation,10,,,203209813671.0,cycles,1351792
non_nested_compare,initial calculation,10,,,205461938998.0,cycles,1365728
non_nested_compare,initial calculation,10,,,208066492243.0,cycles,1379664
non_nested_compare,initial calculation,10,,,209798844393.0,cycles,1393600
