group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,initial calculation,9,,,742686460.0,cycles,28332
non_nested_compare,initial calculation,9,,,1491702657.0,cycles,56664
non_nested_compare,initial calculation,9,,,2244982750.0,cycles,84996
non_nested_compare,initial calculation,9,,,3092315794.0,cycles,113328
non_nested_compare,initial calculation,9,,,4084823704.0,cycles,141660
non_nested_compare,initial calculation,9,,,5347905648.0,cycles,169992
non_nested_compare,initial calculation,9,,,6875168805.0,cycles,198324
non_nested_compare,initial calculation,9,,,8551188439.0,cycles,226656
non_nested_compare,initial calculation,9,,,9873157690.0,cycles,254988
non_nested_compare,initial calculation,9,,,11170837222.0,cycles,283320
non_nested_compare,initial calculation,9,,,12394656629.0,cycles,311652
non_nested_compare,initial calculation,9,,,13172896596.0,cycles,339984
non_nested_compare,initial calculation,9,,,14242878253.0,cycles,368316
non_nested_compare,initial calculation,9,,,15335212317.0,cycles,396648
non_nested_compare,initial calculation,9,,,16407242907.0,cycles,424980
non_nested_compare,initial calculation,9,,,17451484075.0,cycles,453312
non_nested_compare,initial calculation,9,,,19000598195.0,cycles,481644
non_nested_compare,initial calculation,9,,,20122440530.0,cycles,509976
non_nested_compare,initial calculation,9,,,21241733168.0,cycles,538308
non_nested_compare,initial calculation,9,,,22132350935.0,cycles,566640
non_nested_compare,initial calculation,9,,,23059271498.0,cycles,594972
non_nested_compare,initial calculation,9,,,24151012032.0,cycles,623304
non_nested_compare,initial calculation,9,,,25349479939.0,cycles,651636
non_nested_compare,initial calculation,9,,,26723039559.0,cycles,679968
non_nested_compare,initial calculation,9,,,27928109189.0,cycles,708300
non_nested_compare,initial calculation,9,,,28973804141.0,cycles,736632
non_nested_compare,initial calculation,9,,,29743823167.0,cycles,764964
non_nested_compare,initial calculation,9,,,30870826641.0,cycles,793296
non_nested_compare,initial calculation,9,,,31926887031.0,cycles,821628
non_nested_compare,initial calculation,9,,,33462867243.0,cycles,849960
non_nested_compare,initial calculation,9,,,34678639261.0,cycles,878292
non_nested_compare,initial calculation,9,,,36062046905.0,cycles,906624
non_nested_compare,initial calculation,9,,,36510882864.0,cycles,934956
non_nested_compare,initial calculation,9,,,37470210411.0,cycles,963288
non_nested_compare,initial calculation,9,,,38572080748.0,cycles,991620
non_nested_compare,initial calculation,9,,,39775447563.0,cycles,1019952
non_nested_compare,initial calculation,9,,,40740875261.0,cycles,1048284
non_nested_compare,initial calculation,9,,,42408210067.0,cycles,1076616
non_nested_compare,initial calculation,9,,,43596837815.0,cycles,1104948
non_nested_compare,initial calculation,9,,,44580959687.0,cycles,1133280
non_nested_compare,initial calculation,9,,,45478987911.0,cycles,1161612
non_nested_compare,initial calculation,9,,,81859469219.0,cycles,1189944
non_nested_compare,initial calculation,9,,,84047447736.0,cycles,1218276
non_nested_compare,initial calculation,9,,,86107254741.0,cycles,1246608
non_nested_compare,initial calculation,9,,,88127759421.0,cycles,1274940
non_nested_compare,initial calculation,9,,,90055005973.0,cycles,1303272
non_nested_compare,initial calculation,9,,,92261650030.0,cycles,1331604
non_nested_compare,initial calculation,9,,,94188153593.0,cycles,1359936
non_nested_compare,initial calculation,9,,,96606702705.0,cycles,1388268
non_nested_compare,initial calculation,9,,,98432547425.0,cycles,1416600
non_nested_compare,initial calculation,9,,,100461714463.0,cycles,1444932
non_nested_compare,initial calculation,9,,,102426390413.0,cycles,1473264
non_nested_compare,initial calculation,9,,,104644715652.0,cycles,1501596
non_nested_compare,initial calculation,9,,,106430740599.0,cycles,1529928
non_nested_compare,initial calculation,9,,,108402884849.0,cycles,1558260
non_nested_compare,initial calculation,9,,,110598743434.0,cycles,1586592
non_nested_compare,initial calculation,9,,,112985627472.0,cycles,1614924
non_nested_compare,initial calculation,9,,,114771415178.0,cycles,1643256
non_nested_compare,initial calculation,9,,,117127389792.0,cycles,1671588
non_nested_compare,initial calculation,9,,,118714628904.0,cycles,1699920
non_nested_compare,initial calculation,9,,,120591399716.0,cycles,1728252
non_nested_compare,initial calculation,9,,,122506532996.0,cycles,1756584
non_nested_compare,initial calculation,9,,,124748068753.0,cycles,1784916
non_nested_compare,initial calculation,9,,,127059281507.0,cycles,1813248
non_nested_compare,initial calculation,9,,,128894383119.0,cycles,1841580
non_nested_compare,initial calculation,9,,,130581690039.0,cycles,1869912
non_nested_compare,initial calculation,9,,,132960019912.0,cycles,1898244
non_nested_compare,initial calculation,9,,,135330638513.0,cycles,1926576
non_nested_compare,initial calculation,9,,,137159341998.0,cycles,1954908
non_nested_compare,initial calculation,9,,,139185914257.0,cycles,1983240
non_nested_compare,initial calculation,9,,,141400739304.0,cycles,2011572
non_nested_compare,initial calculation,9,,,143213359118.0,cycles,2039904
non_nested_compare,initial calculation,9,,,145359831258.0,cycles,2068236
non_nested_compare,initial calculation,9,,,147406980153.0,cycles,2096568
non_nested_compare,initial calculation,9,,,149370088796.0,cycles,2124900
non_nested_compare,initial calculation,9,,,151349790685.0,cycles,2153232
non_nested_compare,initial calculation,9,,,153408214919.0,cycles,2181564
non_nested_compare,initial calculation,9,,,155390711491.0,cycles,2209896
non_nested_compare,initial calculation,9,,,157379138020.0,cycles,2238228
non_nested_compare,initial calculation,9,,,159722226661.0,cycles,2266560
non_nested_compare,initial calculation,9,,,161686055511.0,cycles,2294892
non_nested_compare,initial calculation,9,,,163726575512.0,cycles,2323224
non_nested_compare,initial calculation,9,,,165801378735.0,cycles,2351556
non_nested_compare,initial calculation,9,,,167414612352.0,cycles,2379888
non_nested_compare,initial calculation,9,,,169997031958.0,cycles,2408220
non_nested_compare,initial calculation,9,,,171901411778.0,cycles,2436552
non_nested_compare,initial calculation,9,,,173950624739.0,cycles,2464884
non_nested_compare,initial calculation,9,,,176096287414.0,cycles,2493216
non_nested_compare,initial calculation,9,,,178857756447.0,cycles,2521548
non_nested_compare,initial calculation,9,,,179964361331.0,cycles,2549880
non_nested_compare,initial calculation,9,,,181770637600.0,cycles,2578212
non_nested_compare,initial calculation,9,,,184727371653.0,cycles,2606544
non_nested_compare,initial calculation,9,,,186084223587.0,cycles,2634876
non_nested_compare,initial calculation,9,,,188111877473.0,cycles,2663208
non_nested_compare,initial calculation,9,,,190515070674.0,cycles,2691540
non_nested_compare,initial calculation,9,,,192459333165.0,cycles,2719872
non_nested_compare,initial calculation,9,,,194562548649.0,cycles,2748204
non_nested_compare,initial calculation,9,,,196606831134.0,cycles,2776536
non_nested_compare,initial calculation,9,,,198164298168.0,cycles,2804868
non_nested_compare,initial calculation,9,,,200485809846.0,cycles,2833200
