group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,modified from scratch,13,,,847757972.0,cycles,1193
non_nested_compare,modified from scratch,13,,,2027853855.0,cycles,2386
non_nested_compare,modified from scratch,13,,,3107392970.0,cycles,3579
non_nested_compare,modified from scratch,13,,,4303764778.0,cycles,4772
non_nested_compare,modified from scratch,13,,,6298753291.0,cycles,5965
non_nested_compare,modified from scratch,13,,,8784953019.0,cycles,7158
non_nested_compare,modified from scratch,13,,,11320385373.0,cycles,8351
non_nested_compare,modified from scratch,13,,,12956276402.0,cycles,9544
non_nested_compare,modified from scratch,13,,,16638228867.0,cycles,10737
non_nested_compare,modified from scratch,13,,,21179773166.0,cycles,11930
non_nested_compare,modified from scratch,13,,,23693888507.0,cycles,13123
non_nested_compare,modified from scratch,13,,,23964176574.0,cycles,14316
non_nested_compare,modified from scratch,13,,,26872616710.0,cycles,15509
non_nested_compare,modified from scratch,13,,,30234055595.0,cycles,16702
non_nested_compare,modified from scratch,13,,,33714618913.0,cycles,17895
non_nested_compare,modified from scratch,13,,,18665890405.0,cycles,19088
non_nested_compare,modified from scratch,13,,,19574226762.0,cycles,20281
non_nested_compare,modified from scratch,13,,,20361621136.0,cycles,21474
non_nested_compare,modified from scratch,13,,,20747123980.0,cycles,22667
non_nested_compare,modified from scratch,13,,,22239640282.0,cycles,23860
non_nested_compare,modified from scratch,13,,,23895456275.0,cycles,25053
non_nested_compare,modified from scratch,13,,,24355938479.0,cycles,26246
non_nested_compare,modified from scratch,13,,,24988948302.0,cycles,27439
non_nested_compare,modified from scratch,13,,,27003722351.0,cycles,28632
non_nested_compare,modified from scratch,13,,,29926085939.0,cycles,29825
non_nested_compare,modified from scratch,13,,,31913278527.0,cycles,31018
non_nested_compare,modified from scratch,13,,,33766618059.0,cycles,32211
non_nested_compare,modified from scratch,13,,,33307923953.0,cycles,33404
non_nested_compare,modified from scratch,13,,,32466625076.0,cycles,34597
non_nested_compare,modified from scratch,13,,,33131793250.0,cycles,35790
non_nested_compare,modified from scratch,13,,,32424924108.0,cycles,36983
non_nested_compare,modified from scratch,13,,,32550364602.0,cycles,38176
non_nested_compare,modified from scratch,13,,,36113977007.0,cycles,39369
non_nested_compare,modified from scratch,13,,,37644429778.0,cycles,40562
non_nested_compare,modified from scratch,13,,,38842146644.0,cycles,41755
non_nested_compare,modified from scratch,13,,,41165567700.0,cycles,42948
non_nested_compare,modified from scratch,13,,,42247369071.0,cycles,44141
non_nested_compare,modified from scratch,13,,,43274907749.0,cycles,45334
non_nested_compare,modified from scratch,13,,,43975925593.0,cycles,46527
non_nested_compare,modified from scratch,13,,,41440458106.0,cycles,47720
non_nested_compare,modified from scratch,13,,,45906101150.0,cycles,48913
non_nested_compare,modified from scratch,13,,,45751514731.0,cycles,50106
non_nested_compare,modified from scratch,13,,,42892316608.0,cycles,51299
non_nested_compare,modified from scratch,13,,,48905117006.0,cycles,52492
non_nested_compare,modified from scratch,13,,,51741402964.0,cycles,53685
non_nested_compare,modified from scratch,13,,,47898175543.0,cycles,54878
non_nested_compare,modified from scratch,13,,,50941321351.0,cycles,56071
non_nested_compare,modified from scratch,13,,,52631232971.0,cycles,57264
non_nested_compare,modified from scratch,13,,,49930509871.0,cycles,58457
non_nested_compare,modified from scratch,13,,,55318950841.0,cycles,59650
non_nested_compare,modified from scratch,13,,,57046653355.0,cycles,60843
non_nested_compare,modified from scratch,13,,,57742974393.0,cycles,62036
non_nested_compare,modified from scratch,13,,,56469298294.0,cycles,63229
non_nested_compare,modified from scratch,13,,,64178495642.0,cycles,64422
non_nested_compare,modified from scratch,13,,,70198454274.0,cycles,65615
non_nested_compare,modified from scratch,13,,,69317875725.0,cycles,66808
non_nested_compare,modified from scratch,13,,,70976856558.0,cycles,68001
non_nested_compare,modified from scratch,13,,,74771298577.0,cycles,69194
non_nested_compare,modified from scratch,13,,,67996742273.0,cycles,70387
non_nested_compare,modified from scratch,13,,,75697803537.0,cycles,71580
non_nested_compare,modified from scratch,13,,,78435027941.0,cycles,72773
non_nested_compare,modified from scratch,13,,,78548959045.0,cycles,73966
non_nested_compare,modified from scratch,13,,,79722520313.0,cycles,75159
non_nested_compare,modified from scratch,13,,,81237246135.0,cycles,76352
non_nested_compare,modified from scratch,13,,,80355340793.0,cycles,77545
