group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
non_nested_compare,modified from scratch,20,,,1108822716.0,cycles,6
non_nested_compare,modified from scratch,20,,,2154252239.0,cycles,12
non_nested_compare,modified from scratch,20,,,3267394188.0,cycles,18
non_nested_compare,modified from scratch,20,,,4404116622.0,cycles,24
non_nested_compare,modified from scratch,20,,,5462437001.0,cycles,30
non_nested_compare,modified from scratch,20,,,6571529689.0,cycles,36
non_nested_compare,modified from scratch,20,,,7631115613.0,cycles,42
non_nested_compare,modified from scratch,20,,,8845732582.0,cycles,48
non_nested_compare,modified from scratch,20,,,9982412763.0,cycles,54
non_nested_compare,modified from scratch,20,,,11093723188.0,cycles,60
non_nested_compare,modified from scratch,20,,,12255151025.0,cycles,66
non_nested_compare,modified from scratch,20,,,13393070522.0,cycles,72
non_nested_compare,modified from scratch,20,,,14558614811.0,cycles,78
non_nested_compare,modified from scratch,20,,,15655364006.0,cycles,84
non_nested_compare,modified from scratch,20,,,16767051068.0,cycles,90
non_nested_compare,modified from scratch,20,,,18093314959.0,cycles,96
non_nested_compare,modified from scratch,20,,,19318039911.0,cycles,102
non_nested_compare,modified from scratch,20,,,20393075640.0,cycles,108
non_nested_compare,modified from scratch,20,,,21771682741.0,cycles,114
non_nested_compare,modified from scratch,20,,,22857334394.0,cycles,120
non_nested_compare,modified from scratch,20,,,24182146583.0,cycles,126
non_nested_compare,modified from scratch,20,,,25343908967.0,cycles,132
non_nested_compare,modified from scratch,20,,,26632049274.0,cycles,138
non_nested_compare,modified from scratch,20,,,28271652992.0,cycles,144
non_nested_compare,modified from scratch,20,,,29800284428.0,cycles,150
non_nested_compare,modified from scratch,20,,,31279070861.0,cycles,156
non_nested_compare,modified from scratch,20,,,32809408767.0,cycles,162
non_nested_compare,modified from scratch,20,,,33775691415.0,cycles,168
non_nested_compare,modified from scratch,20,,,34568677960.0,cycles,174
non_nested_compare,modified from scratch,20,,,35528691322.0,cycles,180
non_nested_compare,modified from scratch,20,,,37565401199.0,cycles,186
non_nested_compare,modified from scratch,20,,,38639575522.0,cycles,192
non_nested_compare,modified from scratch,20,,,40175643695.0,cycles,198
non_nested_compare,modified from scratch,20,,,41171627234.0,cycles,204
non_nested_compare,modified from scratch,20,,,42518936361.0,cycles,210
non_nested_compare,modified from scratch,20,,,43417780694.0,cycles,216
non_nested_compare,modified from scratch,20,,,44568826391.0,cycles,222
non_nested_compare,modified from scratch,20,,,45794083634.0,cycles,228
non_nested_compare,modified from scratch,20,,,47851845983.0,cycles,234
non_nested_compare,modified from scratch,20,,,48918249765.0,cycles,240
non_nested_compare,modified from scratch,20,,,49536335973.0,cycles,246
non_nested_compare,modified from scratch,20,,,50879492811.0,cycles,252
non_nested_compare,modified from scratch,20,,,52100257663.0,cycles,258
non_nested_compare,modified from scratch,20,,,53544074889.0,cycles,264
non_nested_compare,modified from scratch,20,,,54931911631.0,cycles,270
non_nested_compare,modified from scratch,20,,,56408372132.0,cycles,276
non_nested_compare,modified from scratch,20,,,57352684953.0,cycles,282
non_nested_compare,modified from scratch,20,,,58970256424.0,cycles,288
non_nested_compare,modified from scratch,20,,,60387077971.0,cycles,294
non_nested_compare,modified from scratch,20,,,61639004916.0,cycles,300
non_nested_compare,modified from scratch,20,,,62349752192.0,cycles,306
non_nested_compare,modified from scratch,20,,,63711044641.0,cycles,312
non_nested_compare,modified from scratch,20,,,64697976450.0,cycles,318
non_nested_compare,modified from scratch,20,,,66233782558.0,cycles,324
non_nested_compare,modified from scratch,20,,,67305755112.0,cycles,330
non_nested_compare,modified from scratch,20,,,68293817222.0,cycles,336
non_nested_compare,modified from scratch,20,,,69579936378.0,cycles,342
non_nested_compare,modified from scratch,20,,,70748541452.0,cycles,348
non_nested_compare,modified from scratch,20,,,72192945846.0,cycles,354
non_nested_compare,modified from scratch,20,,,73369215284.0,cycles,360
non_nested_compare,modified from scratch,20,,,74360933231.0,cycles,366
non_nested_compare,modified from scratch,20,,,75402974435.0,cycles,372
non_nested_compare,modified from scratch,20,,,77045901613.0,cycles,378
non_nested_compare,modified from scratch,20,,,78404547639.0,cycles,384
non_nested_compare,modified from scratch,20,,,79474820070.0,cycles,390
non_nested_compare,modified from scratch,20,,,80836423186.0,cycles,396
non_nested_compare,modified from scratch,20,,,82320292115.0,cycles,402
non_nested_compare,modified from scratch,20,,,83729268622.0,cycles,408
non_nested_compare,modified from scratch,20,,,84824359618.0,cycles,414
non_nested_compare,modified from scratch,20,,,85616335505.0,cycles,420
non_nested_compare,modified from scratch,20,,,86656084312.0,cycles,426
non_nested_compare,modified from scratch,20,,,88113281945.0,cycles,432
non_nested_compare,modified from scratch,20,,,88821589097.0,cycles,438
non_nested_compare,modified from scratch,20,,,90251868717.0,cycles,444
non_nested_compare,modified from scratch,20,,,91548052686.0,cycles,450
non_nested_compare,modified from scratch,20,,,92607028132.0,cycles,456
non_nested_compare,modified from scratch,20,,,93757083670.0,cycles,462
non_nested_compare,modified from scratch,20,,,95552549083.0,cycles,468
non_nested_compare,modified from scratch,20,,,97237341175.0,cycles,474
non_nested_compare,modified from scratch,20,,,99921007912.0,cycles,480
non_nested_compare,modified from scratch,20,,,101664429527.0,cycles,486
non_nested_compare,modified from scratch,20,,,102402381621.0,cycles,492
non_nested_compare,modified from scratch,20,,,103100804270.0,cycles,498
non_nested_compare,modified from scratch,20,,,104218946591.0,cycles,504
non_nested_compare,modified from scratch,20,,,107034478447.0,cycles,510
non_nested_compare,modified from scratch,20,,,106191019319.0,cycles,516
non_nested_compare,modified from scratch,20,,,107650771491.0,cycles,522
non_nested_compare,modified from scratch,20,,,106886807811.0,cycles,528
non_nested_compare,modified from scratch,20,,,106554898374.0,cycles,534
non_nested_compare,modified from scratch,20,,,107702179404.0,cycles,540
non_nested_compare,modified from scratch,20,,,109241901316.0,cycles,546
non_nested_compare,modified from scratch,20,,,110937215776.0,cycles,552
non_nested_compare,modified from scratch,20,,,112775768589.0,cycles,558
non_nested_compare,modified from scratch,20,,,113677362131.0,cycles,564
non_nested_compare,modified from scratch,20,,,114639344885.0,cycles,570
non_nested_compare,modified from scratch,20,,,116398263490.0,cycles,576
non_nested_compare,modified from scratch,20,,,117392953510.0,cycles,582
